	Uso	MO	CO	NT	CN	Nitra	Sulf	P	CE
A1	BS		1	0.58	0.063	9.2	8.6	3.3	48.3	1
A2	BS		1.68	0.97	0.101	9.7	12.2	4.3	50.8	0.5
A3	BS		2.65	1.53	0.143	10.7	5.9	10	46	0.7
G4	MC		2.61	1.51	0.143	10.6	14	11.7	44.4	0.8
G5	MC		3.23	1.87	0.153	12.2	25.3	21.7	56.8	1.3
G6	MC		2.36	1.37	0.132	10.4	51.5	6.7	50.7	1.4
E7	BSC		1.86	1.08	0.109	9.9	15.2	25	41.1	1.6
E8	BSC		2.36	1.37	0.13	10.5	13.2	12.3	40.9	2.8
E9	BSC		1.99	1.15	0.116	10	100	34.8	49.6	13.6
C10	SS		1.48	0.86	0.09	9.5	100	21.7	47.3	4.6
C11	SS		1.94	1.12	0.111	10.1	66.6	30	48.7	2.8
C12	SS		1.29	0.75	0.08	9.4	100	16.2	51.1	16.3
